,
Procedure + Quantity,CHARGE
Perq dev breast add mr guide - 1,1300
Pre-op Place Ndl Wire Breast - 1,1066
Image Guide Plcmt Metal Loc Cl - 1,231
Breast surgery procedure - 1,3525
Explore wound extremity - 1,1612
Muscle biopsy - 1,2380
Deep muscle biopsy - 1,5712
Needle biopsy muscle - 1,2871
Bone biopsy trocar/needle - 1,1884
Bone biopsy trocar/needle - 1,3416
Bone biopsy open superficial - 1,3258
Bone biopsy open deep - 1,4650
Inject sinus tract for x-ray - 1,585
Removal of foreign body - 1,2066
Inj tendon sheath/ligament - 1,398
Inj tendon origin/insertion - 1,431
Inj trigger point 1/2 muscl - 1,365
Ndl insj w/o njx 1 or 2 musc - 1,634
Ndl insj w/o njx 3+ musc - 1,634
Drain/inj joint/bursa w/o us - 1,464
Drain/inj joint/bursa w/us - 1,422
Drain/inj joint/bursa w/o us - 1,912
Drain/inj joint/bursa w/us - 1,1014
Drain/inj joint/bursa w/o us - 1,1778
Drain/inj joint/bursa w/us - 1,422
Aspirate/inj ganglion cyst - 1,3108
Treatment of bone cyst - 1,1391
Removal of fixation device - 1,527
Removal of support implant - 1,1838
Remove bone fixation device - 1,3165
Replantation digit complete - 1,4401
Musculoskeletal surgery - 1,3165
Exc face les sc <2 cm - 1,2472
Excise max/zygoma b9 tumor - 1,8258
Interdental fixation - 1,1958
Closed tx nose fx w/o manj - 1,450
Closed tx nose fx w/o stablj - 1,2558
Closed tx nose fx w/ stablj - 1,5359
Closed tx septal&nose fx - 1,4463
Closed tx nose/jaw fx - 1,2558
Closed tx orbit w/o manipulj - 1,974
Closed tx orbit w/manipulj - 1,2558
Treat mouth roof fracture - 1,4463
Treat dental ridge fracture - 1,4463
Treat lower jaw fracture - 1,974
Treat lower jaw fracture - 1,2558
Treat lower jaw fracture - 1,8848
Reset dislocated jaw - 1,450
Reset dislocated jaw - 1,2558
Interdental wiring - 1,2731
Drain neck/chest lesion - 1,4757
Biopsy of neck/chest - 1,2490
Exc neck les sc < 3 cm - 1,2490
Treat sternum fracture - 1,450
Biopsy soft tissue of back - 1,2472
Biopsy soft tissue of back - 1,3533
Exc back les sc < 3 cm - 1,3292
Exc back les sc 3 cm/> - 1,2490
Remove extra spine segment - 1,7072
Closed tx vert fx w/o manj - 1,450
Closed tx vert fx w/manj - 1,5247
Perq cervicothoracic inject - 1,5822
Perq lumbosacral injection - 1,5822
Vertebroplasty addl inject - 1,5822
Perq vertebral augmentation - 1,12641
